At_CU,Access_ID,Box_No,Folder_Name,Goldsmiths_Binder,Goldsmiths_Binder_Starting_Page,Exact_Date,Exact_Unitdate,Implied_Date,Implied_Unitdate,Extent_Pages,Sender_Name,Sender_Address,Sender_Town,Sender_Address_Merged,Sender_Organization,Recipient_Name,Recipient_Address,Recipient_Town,Recipient_Address_Merged,Recipient Organization,Type,Format,Version,Language,Provenance,Notes,"Notes_Other
",Clues for unidentifiable
Y,11838,26S,,XLIII,149,1914-09-02,02 September 1914,,,2,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Villa Bell Aria,Not stated,Villa Bell Aria,Not stated,Postcard,Handwritten,Original,French,Serge Prokofiev Archive,Original: spa-tex-cor-ori-0022,,
N,11314,,,XLI,18,1915-06-03,03 June 1915,,,3,Sergey Sergeevich Prokofiev,Not stated,Leningrad,Leningrad,Not stated,Igor Fedorovich Stravinsky,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Photocopy,Russian,Unknown,,,
Y,2855,1,1910-1915,XIV,83,1910-12-25,25 December 1910,,,1,Sergey Sergeevich Prokofiev,Not stated,Moscow,Moscow,Not stated,Sergei Ivanovich Taneev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,"Implied date: [February 1927]. COPY of letter headed 'Spg'.dated 25/12/1910 from SP to Taneev on notepaper headed: 'Obshchestvo Muzykal'no-Teoreticheskaia Biblioteka v Moskve. B.Nikitskaia, d. 13',  with note in SP's hand of receipt of copy of letter in February 1927. ",,
Y,??,1,1910-1915,Not applicable,,1915-04-08,08 April 1915,,,2,Serge Pavlovich Diaghilev,Not stated,Rome,Rome,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
N,981,,,I,49,1917-01-24,24 January 1917,,,1,Not stated,Inzhenernaia 9,Petrograd,"Inzhenernaia 9, Petrograd",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Document,Printed,Photocopy,Russian,Bibliothèque Nationale de France,Permission granted to give SP status of member of Russian Red Cross.,,
N,956,,,I,31,1917-03-13,13 March 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Maria Grigorievna Prokofieva,Not stated,Essentuki,Essentuki,Not stated,Letter,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,973,,,I,43,1917-03-30,30 March 1917,,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,974,,,I,44,1917-03-30,30 March 1917,,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,976,,,I,46,1917-03-30,30 March 1917,,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,Continuation of I/45.,,
N,978,,,I,47,1917-04-xx,April 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,975,,,I,45,1917-06-01,01 June 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Maria Grigorievna Prokofieva,Not stated,Essentuki,Essentuki,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,971,,,I,41,1917-06-06,06 June 1917,,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Maria Grigorievna Prokofieva,Not stated,Essentuki,Essentuki,Not stated,Envelope,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,Full address 'Sanatoriia d[okto]ra Kiseleva'.,,
N,977,,,I,46A,1917-06-06,06 June 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Maria Grigorievna Prokofieva,Not stated,Essentuki,Essentuki,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,972,,,I,42,1917-06-15,15 June 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Envelope,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,"Reverse of Envelope, side 41.",,
N,957,,,I,32,1917-06-30,30 June 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,965,,,I,25,1917-06-30,30 June 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Maria Grigorievna Prokofieva,Not stated,Essentuki,Essentuki,Not stated,Envelope,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,Full address: 'Sanatoriia D[oktor]a Kisielva'.,,
N,966,,,I,26,1917-06-30,30 June 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,969,,,I,28,1917-06-30,30 June 1917,,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,960,,,I,35,1917-07-18,18 July 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,961,,,I,36,1917-07-19,19 July 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Sergey Sergeevich Prokofiev,Not stated,Petrograd,Petrograd,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,955,,,I,30,1917-07-21,21 July 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Sergey Sergeevich Prokofiev,Not stated,Petrograd,Petrograd,Not stated,Envelope,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,963,,,I,38,1917-07-30,30 July 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,962,,,I,37,1917-07-xx,July 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,968,,,I,27,1917-07-xx,July 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,958,,,I,33,1917-08-15,15 August 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Sergey Sergeevich Prokofiev,Not stated,Petrograd,Petrograd,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,970,,,I,29,1917-08-15,15 August 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Maria Grigorievna Prokofieva,Not stated,Essentuki,Essentuki,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,959,,,I,34,1917-10-07,07 October 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Sergey Sergeevich Prokofiev,Not stated,Petrograd,Petrograd,Not stated,Memo,Typed,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,982,,,I,50,1917-11-22,22 November 1917,,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Document,Typed,Photocopy,Russian,Bibliothèque Nationale de France,Certificate granting SP exemption from military service.,,
N,979,,,I,40,1917-12-02,02 December 1917,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Maria Grigorievna Prokofieva,Not stated,Kislovodsk,Kislovodsk,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,954,,,I,3,1917-xx-xx,1917-xx-xx,,,22,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Notebook,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,Various material.,,
N,964,,,I,39,1917-xx-xx,1917-xx-xx,,,1,Not stated,Not stated,Petrograd,Petrograd,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Accounts statement,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,,,
N,11315,,,XLI,21,1918-01-21,21 January 1918,,,1,Sergey Sergeevich Prokofiev,Not stated,Kislovodsk,Kislovodsk,Not stated,Serge Pavlovich Diaghilev,Not stated,Not stated,Not stated,Not stated,Postcard,Draft,Photocopy,Russian,Unknown,,,
N,11316,,,XLI,22,1918-01-23,23 January 1918,,,2,Sergey Sergeevich Prokofiev,Not stated,Kislovodsk,Kislovodsk,Not stated,Serge Pavlovich Diaghilev,Not stated,Not stated,Not stated,Not stated,Letter,Draft,Photocopy,Russian,Unknown,,,
N,980,,,I,48,1918-04-20,20 April 1918,,,1,Anatolii Vasilevich Lunacharsky,Smolny 6,Petrograd,"Smolny 6, Petrograd",Not stated,Not stated,Smolny 6,Petrograd,"Smolny 6, Petrograd",Not stated,Document,Typed,Photocopy,Russian,Bibliothèque Nationale de France,Request for passport for SP.,,
N,11317,,,XLI,24,1918-06-23,23 June 1918,,,2,Sergey Sergeevich Prokofiev,Not stated,Nara,Nara,Not stated,Igor Fedorovich Stravinsky,Not stated,Not stated,Not stated,Not stated,Postcard,Handwritten,Photocopy,Russian,Unknown,,,
N,11318,,,XLI,26,1918-10-01,01 October 1918,,,2,Not stated,Not stated,Not stated,Not stated,Not stated,Serge Pavlovich Diaghilev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,Copy of XLI/ 7.,,
N,983,,,I,51,1918-11-20,20 November 1918,,,1,Not stated,34 West 43rd Street,New York,"34 West 43rd Street, New York",Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Concert programme,Typed,Photocopy,English,Bibliothèque Nationale de France,Typed as heading: 'Notes for insertion in 1918:  JML/7.3.85.',,
N,4383,,,XX,80,1919-01-xx,January 1919,,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Concert programme,Typed,Photocopy,English,Bibliothèque Nationale de France,(without Lina Prokofiev).,,
N,995,,,I,68,1919-02-25,25 February 1919,,,4,Not stated,Not stated,Not stated,Not stated,Not stated,Sergey Sergeevich Prokofiev,Not stated,New York,New York,Not stated,Contract,Typed,Photocopy,English,Bibliothèque Nationale de France,Duo-Art  contract,,
N,11566,,,XLII,11,1919-04-13,13 April 1919,,,1,Sergey Sergeevich Prokofiev,Fifth Avenue & One Hundredth Street,New York,"Fifth Avenue & One Hundredth Street, New York",Not stated,Fatma Samoilenko,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Houghton Library,"See metadata:
Q:\prokofiev\INCREMENTAL\HOLDINGS\Listings holdings\ARCHIVAL MATERIAL_Listing\Samoilenko correspondence_metadata.doc",,
Y,984,1,1919,I,52,1919-04-21,21 April 1919,,,1,Vladimir Nikolaevich Bashkirov,780 Park Avenue,New York,"780 Park Avenue, New York",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Typed,Original,Russian,Bibliothèque Nationale de France,,,
N,11567,,,XLII,12,1919-07-14,14 July 1919,,,1,Sergey Sergeevich Prokofiev,Not stated,New York,New York,Not stated,Fatma Samoilenko,166 West 72nd Street,New York,"166 West 72nd Street, New York",Not stated,Envelope,Handwritten,Photocopy,English,Houghton Library,,,
N,11569,,,XLII,14,1919-10-16,16 October 1919,,,2,Sergey Sergeevich Prokofiev,940 Park Avenue,New York,"940 Park Avenue, New York",Not stated,Boris Nikolaevich Samoilenko,Not stated,Lakewood,Lakewood,Not stated,Letter,Handwritten,Photocopy,Russian,Houghton Library,,,
N,11570,,,XLII,16,1919-10-xx,October 1919,,,1,Sergey Sergeevich Prokofiev,940 Park Avenue,New York,"940 Park Avenue, New York",Not stated,Boris Nikolaevich Samoilenko,Not stated,Lakewood,Lakewood,Not stated,Envelope,Handwritten,Photocopy,English,Houghton Library,,,
N,11319,,,XLI,28,1919-11-02,02 November 1919,,,1,Clerical assistant,Not stated,New York,New York,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,List of expenses,Typed,Photocopy,English,Unknown,,,
N,1138,,,II,188,1919-11-10,10 November 1919,,,2,Not stated,Not stated,Not stated,Not stated,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Document,Printed,Photocopy,English,Bibliothèque Nationale de France,"Document relating to copyright on ""Love for Three Oranges"" 1/10/1921 - 31/12/1921, with lawayer's signature and embossed stamp of Library of Congress, stating that a copy has been deposited and a claim for copyright  for the first term of 28 years has been made.",,
N,985,,,I,53,1919-12-05,05 December 1919,,,3,Not stated,Not stated,New York,New York,Not stated,Sergey Sergeevich Prokofiev,340 West 57th Street,New York,"340 West 57th Street, New York",Not stated,List of expenses,Typed,Photocopy,English,Bibliothèque Nationale de France,,,
N,11320,,,XLI,29,1919-12-10,10 December 1919,,,2,Sergey Sergeevich Prokofiev,33 West 42nd Street,New York,"33 West 42nd Street, New York",Not stated,Igor Fedorovich Stravinsky,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Unknown,,,
N,11572,,,XLII,18,1919-12-26,26 December 1919,,,2,Sergey Sergeevich Prokofiev,Not stated,New York,New York,Not stated,Fatma Samoilenko,53 West 46,New York,"53 West 46, New York",Not stated,Postcard,Handwritten,Photocopy,Russian,Houghton Library,,,
Y,987,1,1920,I,57,1920-01-08,08 January 1920,,,2,Not stated,Not stated,New Orleans,New Orleans,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,Russian,Bibliothèque Nationale de France,,,
Y,,1,1920,Not applicable,,1920-01-21,21 January 1920,,,3,Ida Burguieres,Not stated,Not stated,Not stated,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,English,Bibliothèque Nationale de France,,,
N,11357,,,XLI,87,1920-02-08,08 February 1920,,,1,Henri Prunières,35 Rue Madame,Paris,"35 Rue Madame, Paris",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Typed,Photocopy,French,Bibliothèque Nationale de France,,,
N,988,,,I,59,1920-03-01,01 March 1920,,,1,Not stated,332 So. Michigan Avenue,Chicago,"332 So. Michigan Avenue, Chicago",Not stated,Sergey Sergeevich Prokofiev,33 West 42nd Street,New York,"33 West 42nd Street, New York",Not stated,Bill,Handwritten,Photocopy,English,Bibliothèque Nationale de France,,,
N,11573,,,XLII,20,1920-03-11,11 March 1920,,,6,Sergey Sergeevich Prokofiev,340 West 57th Street,New York,"340 West 57th Street, New York",Not stated,Fatma Samoilenko,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Houghton Library,,,
N,992,,,I,63,1920-03-12,12 March 1920,,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,New York,New York,Not stated,Financial Document,Handwritten,Photocopy,English,Bibliothèque Nationale de France,,,
N,11574,,,XLII,26,1920-03-12,12 March 1920,,,1,Sergey Sergeevich Prokofiev,Not stated,New York,New York,Not stated,Fatma Samoilenko,27 Avenue Marceau,Paris,"27 Avenue Marceau, Paris",Not stated,Envelope,Handwritten,Photocopy,English,Houghton Library,Envelope to XLII/ 20.,,
N,991,,,I,63,1920-03-15,15 March 1920,,,1,Not stated,Not stated,New York,New York,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Receipt,Handwritten,Photocopy,English,Bibliothèque Nationale de France,,,
N,11576,,,XLII,28,1920-03-15,15 March 1920,,,3,Sergey Sergeevich Prokofiev,340 West 57th Street,New York,"340 West 57th Street, New York",Not stated,Fatma Samoilenko,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Houghton Library,,,
N,11577,,,XLII,31,1920-03-16,16 March 1920,,,1,Not stated,Not stated,Not stated,Not stated,Not stated,Fatma Samoilenko,27 Avenue Marceau,Paris,"27 Avenue Marceau, Paris",Not stated,Envelope,Handwritten,Photocopy,English,Prokofiev Estate,Envelope to XLII/ 28.,,
N,11561,,,XLII,2,1920-04-08,08 April 1920,,,2,Sergey Sergeevich Prokofiev,Not stated,New York,New York,Not stated,Nina Pavlovna Koshetz,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Library of Congress,"According to Lina Prokofiev's note: Recipient's address is 'Tiflis, Russia'.",,
N,11562,,,XLII,5,1920-04-08,08 April 1920,,,1,Sergey Sergeevich Prokofiev,Not stated,New York,New York,Not stated,Nina Pavlovna Koshetz,Not stated,Not stated,Not stated,Not stated,Letter,Typed,Photocopy,Russian,Library of Congress,Typed transcript of XLII/ 3.,,
N,11575,,,XLII,27,1920-04-25,25 April 1920,,,1,Sergey Sergeevich Prokofiev,340 West 57th Street,New York,"340 West 57th Street, New York",Not stated,Not stated,Not stated,Not stated,Not stated,Not stated,Envelope,Handwritten,Photocopy,English,Bibliothèque Nationale de France,Envelope to XLII/ 20.,,
N,989,,,I,60,1920-05-17,17 May 1920,,,1,Not stated,33 West 42nd Street,New York,"33 West 42nd Street, New York",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Contract,Printed,Photocopy,English,Bibliothèque Nationale de France,,,
N,11578,,,XLII,32,1920-05-29,29 May 1920,,,4,Sergey Sergeevich Prokofiev,Upper Bedford Place,London,"Upper Bedford Place, London",Not stated,Fatma Samoilenko,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Houghton Library,,,
N,11579,,,XLII,36,1920-05-29,29 May 1920,,,1,Sergey Sergeevich Prokofiev,Not stated,London,London,Not stated,Fatma Samoilenko,59 Avenue Marceau,Paris,"59 Avenue Marceau, Paris",Not stated,Envelope,Handwritten,Photocopy,English,Houghton Library,Envelope to XLII/ 32.,,
N,11580,,,XLII,38,1920-06-08,08 June 1920,,,2,Sergey Sergeevich Prokofiev,Not stated,London,London,Not stated,Fatma Samoilenko,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Houghton Library,,,
N,11581,,,XLII,40,1920-06-09,09 June 1920,,,1,Sergey Sergeevich Prokofiev,Upper Bedford Place,London,"Upper Bedford Place, London",Not stated,Fatma Samoilenko,59 Avenue Marceau,Paris,"59 Avenue Marceau, Paris",Not stated,Envelope,Handwritten,Photocopy,English,Houghton Library,,,
N,11582,,,XLII,41,1920-07-06,06 July 1920,,,2,Sergey Sergeevich Prokofiev,12 Quai de la Tour,Mantes-sur-Seine,"12 Quai de la Tour, Mantes-sur-Seine",Not stated,Fatma Samoilenko,59 Avenue Marceau,Paris,"59 Avenue Marceau, Paris",Not stated,Postcard,Handwritten,Photocopy,Russian,Houghton Library,,,
N,11583,,,XLII,43,1920-09-12,12 September 1920,,,2,Sergey Sergeevich Prokofiev,12 Quai de la Tour,Mantes-sur-Seine,"12 Quai de la Tour, Mantes-sur-Seine",Not stated,Fatma Samoilenko,75 Avenue des Champs-Élysées,Paris,"75 Avenue des Champs-Élysées, Paris",Not stated,Postcard,Handwritten,Photocopy,Russian,Houghton Library,,,
N,11584,,,XLII,45,1920-09-21,21 September 1920,,,1,Sergey Sergeevich Prokofiev,Not stated,Mantes-sur-Seine,Mantes-sur-Seine,Not stated,Fatma Samoilenko,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Houghton Library,,,
N,11585,,,XLII,46,1920-09-21,21 September 1920,,,2,Sergey Sergeevich Prokofiev,12 Quai de la Tour,Mantes-sur-Seine,"12 Quai de la Tour, Mantes-sur-Seine",Not stated,Fatma Samoilenko,Not stated,Dinard,Dinard,Not stated,Envelope,Handwritten,Photocopy,Russian,Houghton Library,Envelope to XLII / 45.,,
N,994,,,I,64,1920-10-01,01 October 1920,,,4,Not stated,Not stated,Not stated,Not stated,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Bibliothèque Nationale de France,"Aboard the SS ""Savoy"".",,
Y,11349,1,1920,XLI,74,1920-10-13,13 October 1920,,,2,Murray Lambert,17 Pond Street,London,"17 Pond Street, London",Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Original,English,Bibliothèque Nationale de France,,,
N,11587,,,XLII,48,1920-10-16,16 October 1920,,,2,Sergey Sergeevich Prokofiev,Not stated,Paris,Paris,Not stated,Fatma Samoilenko,75 Avenue des Champs-Élysées,Paris,"75 Avenue des Champs-Élysées, Paris",Not stated,Postcard,Handwritten,Photocopy,Russian,Houghton Library,,,
N,11721,,,XLIII,18,1920-10-16,16 October 1920,,,2,Not stated,Not stated,Not stated,Not stated,Not stated,Pierre Petrovich Souvchinsky,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Unknown,,,
N,990,,,I,61,1920-10-23,23 October 1920,,,2,Not stated,Not stated,Not stated,Not stated,Not stated,Sergey Sergeevich Prokofiev,Not stated,Not stated,Not stated,Not stated,List of expenses,Typed,Photocopy,English,Bibliothèque Nationale de France,,,
N,11749,,,XLIII,59,1920-10-25,25 October 1920,,,4,Not stated,Not stated,Not stated,Not stated,Not stated,Maria Grigorievna Prokofieva,Not stated,Brussels,Brussels,Not stated,Letter,Handwritten,Photocopy,Russian,Unknown,,,
N,11750,,,XLIII,63,1920-10-28,28 October 1920,,,4,Sergey Sergeevich Prokofiev,5 Avenue & 9 Street,New York,"5 Avenue & 9 Street, New York",Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Unknown,,,
N,11751,,,XLIII,68,1920-11-07,07 November 1920,,,2,Sergey Sergeevich Prokofiev,Not stated,Chicago,Chicago,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Unknown,,,
N,11752,,,XLIII,70,1920-11-15,15 November 1920,,,2,Sergey Sergeevich Prokofiev,Not stated,Chicago,Chicago,Not stated,Maria Grigorievna Prokofieva,Not stated,Not stated,Not stated,Not stated,Letter,Handwritten,Photocopy,Russian,Unknown,,,
